Record_ID,Customer_ID,Employee_ID,Order_ID,Transaction_Date,Region,City,Department,Category,Product,Sales,Profit,Quantity,Unit_Price,Discount_Percent,Cost,Salary,Experience_Years,Age,Rating,Gender,Status,Payment_Method,Customer_Type,Priority,Channel,Education,Contract_Type,Feedback,Country,Zone,Manager,Supplier,Brand,Segment,Risk_Level,Delivery_Status,Membership,Source,Metric_01,Metric_02,Metric_03,Metric_04,Metric_05,Metric_06,Metric_07,Metric_08,Metric_09,Metric_10,Metric_11,Metric_12,Metric_13,Metric_14,Metric_15,Metric_16,Metric_17,Metric_18,Metric_19,Metric_20
475,CUST1475,EMP175,ORD5475,2025-01-01,North,Jaipur,HR,Clothing,Shoes,60527.53,12464.31,64,38423.47,23.16,23054.15,38911.96,9.0,35,4.5,Female,Pending,Cash,Premium,Low,Mobile App,Master,Permanent,Excellent,India,Zone B,Manager_15,Supplier_10,Brand E,Consumer,Medium,Delivered,Basic,Social Media,451.34,310.85,185.17,13.44,645.08,75.34,251.74,349.26,672.27,560.19,475.98,526.41,13.16,734.31,507.66,747.67,574.91,196.31,4.37,700.28
153,CUST1153,EMP173,ORD5153,2025-01-02,Central,Bhopal,Finance,Electronics,Shoes,84251.47,1016.81,94,49585.63,26.12,26411.41,64857.51,10.3,46,4.6,Male,Pending,Net Banking,Regular,High,Mobile App,Bachelor,Permanent,Good,India,Zone D,Manager_13,Supplier_3,Brand C,Small Business,Low,Cancelled,Gold,Referral,428.34,779.1,601.38,429.05,880.29,149.09,691.91,233.25,688.51,908.45,561.81,602.05,751.19,881.21,188.28,891.97,426.84,574.95,580.19,617.44
55,CUST1055,EMP155,ORD5055,2025-01-02,North,Indore,HR,Furniture,Watch,53394.15,18192.67,66,26051.7,39.78,63836.12,36354.54,0.5,41,3.4,Female,Completed,Net Banking,Regular,Medium,Online,PhD,Part-time,Average,India,Zone A,Manager_15,Supplier_10,Brand A,Small Business,Low,Delayed,Silver,Advertisement,100.03,136.7,730.57,843.44,930.71,905.96,332.23,629.88,487.57,169.29,236.96,19.13,401.23,108.65,211.89,399.24,273.2,891.29,482.88,366.56
192,CUST1192,EMP132,ORD5192,2025-01-02,West,Bhopal,Sales,Furniture,Watch,82768.09,18421.96,4,41142.48,34.91,56583.94,159590.21,11.5,59,2.0,Male,Completed,Debit Card,Regular,Medium,Mobile App,Bachelor,Part-time,Good,India,Zone D,Manager_12,Supplier_12,Brand A,Small Business,Medium,In Transit,Platinum,Website,301.78,820.68,712.58,18.43,782.98,767.94,866.19,264.59,778.54,215.13,76.81,18.73,379.63,325.15,459.61,998.25,626.37,392.94,66.05,49.05
306,CUST1306,EMP166,ORD5306,2025-01-05,East,Jaipur,Operations,Beauty,Headphones,84286.41,-2949.98,84,45371.72,34.19,46077.8,23247.04,11.6,52,3.1,Female,Returned,Debit Card,Regular,Critical,Store,Diploma,Part-time,Good,India,Zone D,Manager_6,Supplier_6,Brand E,Small Business,High,In Transit,Gold,Advertisement,101.57,711.88,839.63,314.31,249.89,190.0,240.45,361.69,980.59,297.66,614.01,242.91,99.29,251.31,626.04,916.25,784.87,804.62,905.58,449.73
101,CUST1101,EMP121,ORD5101,2025-01-05,Central,Pune,Operations,Furniture,Laptop,63968.77,-4174.42,61,37711.33,5.52,49423.91,73382.25,13.5,28,3.7,Other,Completed,UPI,Premium,Low,Mobile App,Bachelor,Part-time,Good,India,Zone D,Manager_1,Supplier_11,Brand E,Consumer,Medium,In Transit,Silver,Referral,847.61,516.34,181.05,730.54,772.53,231.15,468.55,724.46,989.92,490.41,115.85,545.21,745.74,906.53,77.42,589.75,319.78,652.11,71.93,372.26
198,CUST1198,EMP138,ORD5198,2025-01-09,North,Delhi,Operations,Clothing,Chair,83153.51,405.87,84,6940.76,18.3,27965.11,83074.9,12.5,41,1.4,Male,Cancelled,Net Banking,Premium,Critical,Online,Bachelor,Part-time,Good,India,Zone A,Manager_18,Supplier_3,Brand A,Corporate,Low,Delivered,Platinum,Social Media,111.05,270.0,223.01,557.35,829.45,390.83,765.43,563.58,397.96,346.19,745.95,45.33,506.07,922.93,500.71,52.98,932.96,364.19,912.69,700.19
433,CUST1433,EMP133,ORD5433,2025-01-09,North,Delhi,IT,Beauty,Headphones,94910.17,17275.92,15,10508.56,27.76,13502.36,90029.68,10.7,34,3.8,Female,Completed,Cash,Premium,High,Online,Bachelor,Permanent,Average,India,Zone D,Manager_13,Supplier_13,Brand A,Consumer,Medium,Delayed,Platinum,Referral,812.03,278.49,436.29,131.01,44.91,786.61,833.81,589.2,522.29,678.63,659.11,252.62,854.43,869.62,650.16,44.16,568.57,940.53,639.84,854.42
372,CUST1372,EMP152,ORD5372,2025-01-12,West,Delhi,Sales,Electronics,Shirt,67676.44,12912.87,75,22168.39,27.49,21922.21,85617.44,0.8,24,4.7,Other,Cancelled,Credit Card,Premium,Low,Online,Master,Permanent,Good,India,Zone C,Manager_12,Supplier_12,Brand E,Small Business,High,Cancelled,Gold,Direct,291.82,542.7,557.52,262.32,449.46,444.61,536.43,645.93,180.81,494.31,324.15,235.98,856.7,886.26,713.25,552.71,219.14,688.89,295.66,729.42
42,CUST1042,EMP142,ORD5042,2025-01-14,East,Kolkata,Marketing,Grocery,Watch,5424.94,282.86,66,27982.42,6.64,1887.33,158706.24,9.9,43,4.3,Female,Pending,Cash,Regular,High,Mobile App,Master,Part-time,Poor,India,Zone D,Manager_2,Supplier_12,Brand D,Consumer,Medium,Cancelled,Basic,Website,832.23,300.53,420.76,420.68,963.2,372.37,591.34,194.16,151.18,74.8,978.22,318.5,884.91,871.13,259.0,564.73,128.02,625.02,520.06,682.18
